id,name,year,group,group_name,status,birth_date,birth_place,gender,alma_mater,undergraduate_major,graduate_major,military_rank,military_force,space_flights_number_of,space_flight_total_hours,space_walks_number_of,space_walks_total_hours,missions,death_date,death_mission
61,John A. Llewellyn,1967,6,Excess Eleven,Deceased,4/22/1933,"Cardiff, Wales",Male,University College at Cardiff,Chemistry,Chemistry,,,0,0,0,0,,7/2/2013,
62,Story Musgrave,1967,6,Excess Eleven,Retired,8/19/1935,"Boston, MA",Male,Syracuse University; Marietta College; University of California-Los Angeles; University of Kentucky; University of Houston; Columbia University,Mathematics & Statistics; Chemistry,Business Administration; Physiology; Literature; Medicine,,,6,1281,4,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)",,
63,Brian T. O'Leary,1967,6,Excess Eleven,Deceased,1/27/1940,"Boston, MA",Male,Williams College; Georgetown University; University of California-Berkeley,Physics,Astronomy,,,0,0,0,0,,7/28/2011,
64,Robert A. Parker,1967,6,Excess Eleven,Retired,12/14/1936,"New York, NY",Male,Amherst College; California Institute of Technology,Physics & Astronomy,Astronomy,,,2,462,0,0,"STS-9 (Columbia), STS-35 (Columbia)",,
65,William E. Thornton,1967,6,Excess Eleven,Retired,4/14/1929,"Faison, NC",Male,University of North Carolina,Physics,Medicine,,,2,315,0,0,"STS-8 (Challenger), STS 51-B (Challenger)",,
66,Karol J. Bobko,1969,7,,Retired,12/23/1937,"New York, NY",Male,US Air Force Academy; University of Southern California,,Aerospace Engineering,Colonel,US Air Force (Retired),3,386,0,0,"STS-6 (Challenger), STS 51-D (Discovery), STS-51-J (Atlantis)",,
67,Robert L. Crippen,1969,7,,Retired,9/11/1937,"Beaumont, TX",Male,University of Texas,Aerospace Engineering,,Captain,US Navy (Retired),4,565,0,0,"STS-1 (Columbia), STS-7 (Challenger), STS 41-C (Challenger), STS 41-G (Challenger)",,
68,C. Gordon Fullerton,1969,7,,Deceased,10/11/1936,"Rochester, NY",Male,California Institute of Technology,Mechanical Engineering,Mechanical Engineering,Colonel,US Air Force (Retired),2,382,0,0,"STS-3 (Columbia), STS 51-F (Challenger)",8/21/2013,
69,Henry W. Hartsfield Jr. ,1969,7,,Deceased,11/21/1933,"Birmingham, AL",Male,Auburn University; University of Tennessee,Physics,Engineering Science,Colonel,US Air Force (Retired),3,482,0,0,"STS-4 (Columbia), STS 41-D (Discovery), STS 61-A (Challenger)",7/17/2014,
70,Robert F. Overmyer,1969,7,,Deceased,7/14/1936,"Lorain, OH",Male,Baldwin Wallace College; US Naval Postgraduate School,Physics,Aeronautics,Colonel,US Marine Corps (Retired),2,290,0,0,"STS-5 (Columbia), STS 51-B (Challenger)",3/22/1996,
71,Donald H. Peterson,1969,7,,Deceased,10/22/1933,"Winona, MS",Male,US Military Academy; US Air Force Institute of Technology,,Nuclear Engineering,Colonel,US Air Force (Retired),1,120,1,4,STS-6 (Challenger),5/27/2018,
72,Richard H. Truly,1969,7,,Retired,11/12/1937,"Fayette, MS",Male,Georgia Institute of Technology,Aeronautical Engineering,,Vice Admiral,US Navy (Retired),2,199,0,0,"STS-2 (Columbia), STS-8 (Challenger)",,
73,Guion S. Bluford Jr. ,1978,8,Thirty-Five New Guys,Retired,11/22/1942,"Philadelphia, PA",Male,Pennsylvania State University; Air Force Institute of Technology; University of Houston-Clear Lake,Aerospace Engineering,Aerospace Engineering; Business Administration,Colonel,US Air Force (Retired),4,689,0,0,"STS-8 (Challenger), STS 61-A (Challenger), STS-39 (Discovery), STS-53 (Discovery)",,
74,Daniel C. Brandenstein,1978,8,Thirty-Five New Guys,Retired,1/17/1943,"Watertown, WI",Male,University of Wisconsin,Mathematics & Physics,,Captain,US Navy (Retired),4,789,0,0,"STS-8 (Challenger), STS 51-G (Discovery), STS-32 (Columbia), STS-49 (Endeavor)",,
75,James F. Buchli,1978,8,Thirty-Five New Guys,Retired,6/20/1945,"New Rockford, ND",Male,US Naval Academy; University of West Florida,Aeronautical Engineering,Aeronautical Engineering Systems,Colonel,US Marine Corps (Retired),4,490,0,0,"STS 51-C (Discovery), STS 61-A (Challenger), STS-29 (Discovery), STS-48 (Discovery",,
